184,Pasadena,California,138547,137122,22.970 sq mi,34.1606N 118.1396W
185,Hampton,Virginia,136836,137436,51.413 sq mi,37.0480N 76.2971W
186,McAllen,Texas,134719,129877,48.344 sq mi,26.2185N 98.2461W
187,Killeen,Texas,134654,127921,53.580 sq mi,31.0777N 97.7320W
188,Warren,Michigan,134141,134056,34.381 sq mi,42.4929N 83.0250W
189,West Valley City,Utah,132434,129480,35.556 sq mi,40.6885N 112.0118W
190,Columbia,South Carolina,131686,129272,132.213 sq mi,34.0298N 80.8966W
191,New Haven,Connecticut,130741,129779,18.679 sq mi,41.3108N 72.9250W
192,Sterling Heights,Michigan,130410,129699,36.505 sq mi,42.5812N 83.0303W
193,Olathe,Kansas,130045,125872,59.661 sq mi,38.8843N 94.8188W
194,Miramar,Florida,128729,122041,29.521 sq mi,25.9770N 80.3358W
195,Thousand Oaks,California,128412,126683,55.031 sq mi,34.1933N 118.8742W
196,Frisco,Texas,128176,116989,61.804 sq mi,33.1510N 96.8193W
197,Cedar Rapids,Iowa,128119,126326,70.799 sq mi,41.9670N 91.6778W
198,Topeka,Kansas,127939,127473,60.168 sq mi,39.0362N 95.6948W
199,Visalia,California,127081,124442,36.246 sq mi,36.3272N 119.3234W
200,Waco,Texas,127018,124805,88.964 sq mi,31.5601N 97.1860W
201,Elizabeth,New Jersey,126458,124969,12.319 sq mi,40.6663N 74.1935W
202,Bellevue,Washington,126439,122363,31.968 sq mi,47.5978N 122.1565W
203,Gainesville,Florida,126047,124354,61.305 sq mi,29.6788N 82.3459W
204,Simi Valley,California,125793,124237,41.480 sq mi,34.2669N 118.7485W
205,Charleston,South Carolina,125583,120083,108.979 sq mi,32.8179N 79.9589W
206,Carrollton,Texas,125409,119097,36.296 sq mi,32.9884N 96.8998W
207,Coral Springs,Florida,125287,121096,23.792 sq mi,26.2708N 80.2593W
208,Stamford,Connecticut,125109,122643,37.639 sq mi,41.0799N 73.5460W
209,Hartford,Connecticut,124893,124775,17.381 sq mi,41.7660N 72.6833W
210,Concord,California,124711,122067,30.546 sq mi,37.9722N 122.0016W
211,Roseville,California,124519,118788,36.222 sq mi,38.7657N 121.3032W
212,Thornton,Colorado,124140,118772,34.843 sq mi,39.9180N 104.9454W
213,Kent,Washington,122999,92411,28.625 sq mi,47.3853N 122.2169W
214,Lafayette,Louisiana,122761,120623,49.231 sq mi,30.2116N 92.0314W
215,Surprise,Arizona,121287,117517,105.747 sq mi,33.6706N 112.4527W
216,Denton,Texas,121123,113383,87.952 sq mi,33.2151N 97.1417W
217,Victorville,California,120336,115903,73.178 sq mi,34.5277N 117.3536W
218,Evansville,Indiana,120235,117429,44.153 sq mi,37.9877N 87.5347W
219,Midland,Texas,119385,111147,72.071 sq mi,32.0299N 102.1097W
220,Santa Clara,California,119311,116468,18.407 sq mi,37.3646N 121.9679W
221,Athens,Georgia,118999,115452,116.355 sq mi,33.9496N 83.3701W
222,Allentown,Pennsylvania,118974,118032,17.546 sq mi,40.5940N 75.4782W
223,Abilene,Texas,118887,117063,106.793 sq mi,32.4545N 99.7381W
224,Beaumont,Texas,118228,118296,82.801 sq mi,30.0843N 94.1458W
225,Vallejo,California,117796,115942,30.671 sq mi,38.1079N 122.2639W
226,Independence,Missouri,117270,116830,77.567 sq mi,39.0853N 94.3513W
227,Springfield,Illinois,117126,116250,59.480 sq mi,39.7639N 89.6708W
228,Ann Arbor,Michigan,116121,113934,27.830 sq mi,42.2756N 83.7313W
229,Provo,Utah,115919,112488,41.673 sq mi,40.2453N 111.6448W
230,Peoria,Illinois,115687,115007,48.007 sq mi,40.7523N 89.6171W
231,Norman,Oklahoma,115562,110925,178.763 sq mi,35.2406N 97.3453W
232,Berkeley,California,115403,112580,10.470 sq mi,37.8667N 122.2991W
233,El Monte,California,115111,113475,9.562 sq mi,34.0746N 118.0291W
234,Murfreesboro,Tennessee,114038,108755,55.346 sq mi,35.8522N 86.4161W
235,Lansing,Michigan,113996,114297,36.049 sq mi,42.7098N 84.5562W
236,Columbia,Missouri,113225,108500,63.077 sq mi,38.9479N 92.3261W
237,Downey,California,112873,111772,12.408 sq mi,33.9382N 118.1309W
238,Costa Mesa,California,111918,109960,15.654 sq mi,33.6659N 117.9123W
239,Inglewood,California,111182,109673,9.068 sq mi,33.9561N 118.3443W
240,Miami Gardens,Florida,110754,107167,18.231 sq mi,25.9489N 80.2436W
241,Manchester,New Hampshire,110209,109565,33.101 sq mi,42.9847N 71.4439W
242,Elgin,Illinois,109927,108188,37.163 sq mi,42.0396N 88.3217W
243,Wilmington,North Carolina,109922,106476,51.493 sq mi,34.2092N 77.8858W
244,Waterbury,Connecticut,109915,110366,28.519 sq mi,41.5585N 73.0367W
245,Fargo,North Dakota,109779,105549,48.821 sq mi,46.8652N 96.8290W
246,Arvada,Colorado,109745,106433,35.142 sq mi,39.8097N 105.1066W
247,Carlsbad,California,109318,105328,37.722 sq mi,33.1239N 117.2828W
248,Westminster,Colorado,109169,106114,31.550 sq mi,39.8822N 105.0644W
249,Rochester,Minnesota,108992,106769,54.586 sq mi,44.0154N 92.4772W
250,Gresham,Oregon,108956,105594,23.201 sq mi,45.5023N 122.4416W
251,Clearwater,Florida,108732,107685,25.562 sq mi,27.9795N 82.7663W
252,Lowell,Massachusetts,108522,106519,13.583 sq mi,42.6389N 71.3221W
253,West Jordan,Utah,108383,103712,32.457 sq mi,40.6023N 112.0010W
254,Pueblo,Colorado,107772,106595,53.641 sq mi,38.2731N 104.6124W
255,Ventura,California,107734,106433,21.655 sq mi,34.2681N 119.2550W
256,Fairfield,California,107684,105321,37.390 sq mi,38.2568N 122.0397W
257,West Covina,California,107440,106098,16.041 sq mi,34.0559N 117.9099W
258,Billings,Montana,106954,104170,43.413 sq mi,45.7895N 108.5499W
259,Murrieta,California,106810,103466,33.577 sq mi,33.5719N 117.1907W
260,High Point,North Carolina,106586,104371,53.803 sq mi,35.9855N 79.9902W
261,Round Rock,Texas,106573,99887,34.113 sq mi,30.5237N 97.6674W
262,Richmond,California,106516,103701,30.068 sq mi,37.9530N 122.3594W
263,Cambridge,Massachusetts,106471,105162,6.385 sq mi,42.3760N 71.1183W
264,Norwalk,California,106278,105549,9.707 sq mi,33.9069N 118.0834W
265,Odessa,Texas,106102,99940,41.955 sq mi,31.8804N 102.3434W
266,Antioch,California,105508,102372,28.349 sq mi,37.9775N 121.7976W
267,Temecula,California,105208,100097,30.151 sq mi,33.5019N 117.1246W
268,Green Bay,Wisconsin,104868,104057,45.467 sq mi,44.5207N 87.9842W
269,Everett,Washington,104655,103019,33.447 sq mi,48.0033N 122.1742W
270,Wichita Falls,Texas,104552,104553,72.140 sq mi,33.9067N 98.5259W
271,Burbank,California,104391,103340,17.341 sq mi,34.1890N 118.3249W
272,Palm Bay,Florida,104124,103190,65.702 sq mi,27.9856N 80.6626W
273,Centennial,Colorado,103743,100377,28.722 sq mi,39.5906N 104.8691W
274,Daly City,California,103690,101123,7.664 sq mi,37.7009N 122.4650W
275,Richardson,Texas,103297,99223,28.564 sq mi,32.9723N 96.7081W
276,Pompano Beach,Florida,102984,99845,24.002 sq mi,26.2426N 80.1290W
277,Broken Arrow,Oklahoma,102019,98850,61.571 sq mi,36.0365N 95.7810W
278,North Charleston,South Carolina,101989,97471,76.600 sq mi,32.8853N 80.0169W
279,West Palm Beach,Florida,101903,99919,55.293 sq mi,26.7483N 80.1266W
280,Boulder,Colorado,101808,97385,25.700 sq mi,40.0175N 105.2797W
281,Rialto,California,101740,99171,22.351 sq mi,34.1118N 117.3883W
282,Santa Maria,California,101459,99553,22.756 sq mi,34.9332N 120.4438W
283,El Cajon,California,101435,99478,14.433 sq mi,32.8017N 116.9605W
284,Davenport,Iowa,101363,99685,62.948 sq mi,41.5541N 90.6040W
285,Erie,Pennsylvania,101047,101786,19.081 sq mi,42.1166N 80.0735W
285,Las Cruces,New Mexico,101047,97618,76.29 sq mi,32.3197N 106.7653W
287,South Bend,Indiana,100800,101168,41.458 sq mi,41.6769N 86.2690W
288,Flint,Michigan,100515,102434,33.416 sq mi,43.0244N 83.6920W
289,Kenosha,Wisconsin,100150,99218,27.030 sq mi,42.5822N 87.8456W
